timestamp,value
1701236598.133,0
1701236658.133,0
1701236718.133,0
1701236778.133,0
1701236838.133,0
1701236898.133,0
1701236958.133,0
1701237018.133,0
1701237078.133,0
1701237138.133,0
1701237198.133,0
1701237258.133,0
1701237318.133,0
1701237378.133,0
1701237438.133,0
1701237498.133,0
1701237558.133,0
1701237618.133,0
1701237678.133,0
1701237738.133,0
1701237798.133,0
1701237858.133,0
1701237918.133,0
1701237978.133,0
1701238038.133,0
1701238098.133,0
1701238158.133,0
1701238218.133,0
1701238278.133,0
1701238338.133,0
1701238398.133,0
1701238458.133,0
1701238518.133,0
1701238578.133,0
1701238638.133,0
1701238698.133,0
1701238758.133,0
1701238818.133,0
1701238878.133,0
1701238938.133,0
1701238998.133,0
1701239058.133,0
1701239118.133,0
1701239178.133,0
1701239238.133,0
